Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
2020,4,Turquia,Alumínio e suas obras,Paraná,MARITIMA,"172.875,00"
2020,10,Itália,Obras diversas de metais comuns,Santa Catarina,MARITIMA,"172.761,00"
2020,8,Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Paraná,RODOVIARIA,"172.679,00"
2020,6,Letônia,Plásticos e suas obras,Paraná,MARITIMA,"172.660,00"
2020,4,Turquia,Armas e munições; suas partes e acessórios,Santa Catarina,AEREA,"172.660,00"
2020,9,Países Baixos (Holanda),Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"172.596,00"
2020,11,China,Cobre e suas obras,Rio Grande do Sul,MARITIMA,"172.433,00"
2020,4,Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Rio Grande do Sul,RODOVIARIA,"172.400,00"
2020,7,Índia,Vidro e suas obras,Paraná,MARITIMA,"172.398,00"
2020,10,Rússia,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,Santa Catarina,MARITIMA,"172.389,00"
2020,2,Taiwan (Formosa),Produtos químicos orgânicos,Santa Catarina,MARITIMA,"172.334,00"
2020,12,Alemanha,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Paraná,MARITIMA,"172.244,00"
2020,4,Rússia,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,Santa Catarina,MARITIMA,"172.216,00"
2020,9,Canadá,Outros metais comuns; ceramais (cermets); obras dessas matérias,Santa Catarina,MARITIMA,"172.175,00"
2020,2,Uruguai,Produtos químicos orgânicos,Rio Grande do Sul,RODOVIARIA,"172.135,00"
2020,3,Polônia,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Paraná,MARITIMA,"171.972,00"
2020,12,França,Produtos cerâmicos,Santa Catarina,AEREA,"171.884,00"
2020,10,Itália,Borracha e suas obras,Santa Catarina,MARITIMA,"171.861,00"
2020,5,Hungria,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Santa Catarina,MARITIMA,"171.836,00"
2020,7,Alemanha,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Paraná,MARITIMA,"171.810,00"
2020,10,Colômbia,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"171.790,00"
2020,1,Egito,Vidro e suas obras,Santa Catarina,MARITIMA,"171.768,00"
2020,3,Turquia,Armas e munições; suas partes e acessórios,Rio Grande do Sul,MARITIMA,"171.723,00"
2020,5,Egito,Vidro e suas obras,Santa Catarina,MARITIMA,"171.604,00"
2020,5,França,Produtos diversos das indústrias químicas,Santa Catarina,MARITIMA,"171.603,00"
2020,1,Estados Unidos,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,AEREA,"171.575,00"
2020,4,Argentina,Borracha e suas obras,Santa Catarina,RODOVIARIA,"171.544,00"
2020,5,França,Vidro e suas obras,Paraná,MARITIMA,"171.542,00"
2020,11,Uruguai,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Santa Catarina,RODOVIARIA,"171.514,00"
2020,10,Indonésia,Vidro e suas obras,Santa Catarina,MARITIMA,"171.428,00"
2020,11,Turquia,Plásticos e suas obras,Paraná,MARITIMA,"171.421,00"
2020,9,Hong Kong,Plásticos e suas obras,Paraná,MARITIMA,"171.280,00"
2020,12,Bélgica,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Santa Catarina,MARITIMA,"171.274,00"
2020,4,Egito,Algodão,Santa Catarina,MARITIMA,"171.220,00"
2020,3,Espanha,Plásticos e suas obras,Paraná,AEREA,"171.184,00"
2020,3,México,Produtos diversos das indústrias químicas,Santa Catarina,MARITIMA,"171.175,00"
2020,5,Vietnã,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"171.163,00"
2020,5,Estados Unidos,Alumínio e suas obras,Paraná,AEREA,"171.124,00"
2020,8,Coreia do Sul,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"171.060,00"
2020,9,Espanha,Obras diversas de metais comuns,Rio Grande do Sul,MARITIMA,"170.940,00"
2020,3,Estados Unidos,Plásticos e suas obras,Rio Grande do Sul,AEREA,"170.873,00"
2020,5,França,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Santa Catarina,MARITIMA,"170.627,00"
2020,9,Bélgica,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Paraná,MARITIMA,"170.620,00"
2020,2,Estados Unidos,Cacau e suas preparações,Santa Catarina,MARITIMA,"170.498,00"
